Global Parent,Ship_To_Count,Row_Count,GP_Country,Normalized_GP
CINCINNATI GEARING SYSTEMS,4,7,United States Of America,CINCINNATI GEARING SYSTEMS
CMD,4,10,France,CMD
CNS TOOLING AND ABRASIVES,4,8,United States Of America,CNS TOOLING AND ABRASIVES
COMER INDUSTRIES,4,8,Italy,COMER INDUSTRIES
CSCEC,4,5,,CSCEC
DANSK,4,8,Denmark,DANSK
DC MACHINE,4,7,United States Of America,DC MACHINE
DEPUY,4,10,United States Of America,DEPUY
DOLEN TOOL SALES,4,9,United States Of America,DOLEN TOOL SALES
DOLLAR INDUSTRIES,4,7,Pakistan,DOLLAR INDUSTRIES
DOMETIC GROUP,4,6,Sweden,DOMETIC GROUP
DOW CHEMICAL,4,8,United States Of America,DOW CHEMICAL
DRAVA,4,6,Brazil,DRAVA
Dependable Stamping Company,4,6,United States Of America,DEPENDABLE STAMPING
EAGLE MANUFACTURING COMPANY,4,6,United States Of America,EAGLE MANUFACTURING
ECHO TRAILERS,4,10,United States Of America,ECHO TRAILERS
EFD INDUCTION INC,4,8,United States Of America,EFD INDUCTION
EICKHOFF,4,7,Germany,EICKHOFF
EINES CANELA,4,4,Spain,EINES CANELA
ELBA BRUNITURA,4,13,Italy,ELBA BRUNITURA
ELECTROMET,4,5,United States Of America,ELECTROMET
ENVIREM,4,11,Italy,ENVIREM
ETERNIT,4,8,Brazil,ETERNIT
ETG IRELAND,4,11,Ireland,ETG IRELAND
ETS OPINEL JOSEPH ET CIE,4,6,France,ETS OPINEL JOSEPH ET CIE
FAMAR,4,9,Italy,FAMAR
FCF,4,8,Brazil,FCF
FEINTOOL CINCINNATI,4,8,United States Of America,FEINTOOL CINCINNATI
FOCAL POINT,4,8,United States Of America,FOCAL POINT
FOPPAVIE,4,9,Italy,FOPPAVIE
FORGEX,4,5,Canada,FORGEX
Fenner,4,7,United States Of America,FENNER
GAVIOTA SIMBAC MIDDLE EAST,4,8,Lebanon,GAVIOTA SIMBAC MIDDLE EAST
GH GROUP,4,6,Spain,GH GROUP
GIACOMINI SPA,4,10,Italy,GIACOMINI
GLIDEROL GARAGE DOORS,4,4,Australia,GLIDEROL GARAGE DOORS
GNOSJÖ AUTOMATSVARVNING,4,8,Sweden,GNOSJO AUTOMATSVARVNING
GOIZPER,4,4,Spain,GOIZPER
GRAHAM MACHINELES AND SERVICES,4,6,Canada,GRAHAM MACHINELES AND SERVICES
GREAT LAKES DREDGE AND DOCK,4,8,United States Of America,GREAT LAKES DREDGE AND DOCK
GUHRING,4,9,Germany,GUHRING
HAGER,4,12,United States Of America,HAGER
HALL INDUSTRIES,4,6,United States Of America,HALL INDUSTRIES
HAMILTON MACHINE AND MANUFACTURING,4,7,United States Of America,HAMILTON MACHINE AND MANUFACTURING
HART AND COOLEY,4,9,United States Of America,HART AND COOLEY
HARTFORD FINISHING,4,8,United States Of America,HARTFORD FINISHING
HASSMANN,4,11,Brazil,HASSMANN
HEF GROUPE,4,6,France,HEF GROUPE
HI LIFE TOOLS,4,11,India,HI LIFE TOOLS
HOERBIGER,4,7,Switzerland,HOERBIGER
HOL-MAC CORPORATION,4,8,United States Of America,HOL MAC
HORSBURGH AND SCOTT,4,7,United States Of America,HORSBURGH AND SCOTT
HULTAFORS,4,10,Sweden,HULTAFORS
HUMANSCALE,4,7,United States Of America,HUMANSCALE
HYTROL CONVEYOR CO,4,10,United States Of America,HYTROL CONVEYOR
Houseknechts Precision Machine,4,7,United States Of America,HOUSEKNECHTS PRECISION MACHINE
IBRATEC,4,7,Brazil,IBRATEC
IG WATTEEUW INTERNATIONAL,4,4,Belgium,IG WATTEEUW INTERNATIONAL
INDELBROM,4,5,Brazil,INDELBROM
INDUSTRIAL POLISHING,4,6,United States Of America,INDUSTRIAL POLISHING
INDUSTRISLIBERIET,4,7,Sweden,INDUSTRISLIBERIET
INTERNATIONAL PAPER,4,6,United States Of America,INTERNATIONAL PAPER
IPCO,4,7,Sweden,IPCO
