Entity_1,Representative_1,Members_1,Countries_1,Ship_To_1,Entity_2,Representative_2,Members_2,Countries_2,Ship_To_2,Confidence,Combined_Name_Length,Ratio,Partial_Ratio,Token_Sort,Token_Set,Total_Ship_To
E011556,LUBRICANTS UK LTDKERNOW,LUBRICANTS UK LTDKERNOW,United Kingdom,1,E011554,LUBRICANTS UK,LUBRICANTS UK LIMITED,,1,Medium,36,72.2,100.0,72.2,100.0,2
E006067,CARPENTER,CARPENTER,United States Of America,1,E006068,CARPENTER CANADA,CARPENTER CANADA,Canada,1,Medium,25,72.0,100.0,72.0,100.0,2
E009460,HELMUT LINGEMANN,HELMUT LINGEMANN,Germany,1,E011400,LINGEMANN,LINGEMANN,Germany,1,Medium,25,72.0,100.0,72.0,100.0,2
E007642,EGIDE,EGIDE,France,1,E007643,EGIDE USA,EGIDE USA,United States Of America,1,Medium,14,71.4,100.0,71.4,100.0,2
E011676,MABEY HIRE,MABEY HIRE,Australia,1,E011677,MABEY HIRE PENRITH,MABEY HIRE PENRITH,,1,Medium,28,71.4,100.0,71.4,100.0,2
E014676,RHEEM,RHEEM,United States Of America,1,E014963,RHEEM MFG,Rheem MFG,United States Of America,1,Medium,14,71.4,100.0,71.4,100.0,2
E015438,SHAPE,SHAPE CORP,United States Of America,1,E015440,SHAPE WLB,SHAPE WLB,Canada,1,Medium,14,71.4,100.0,71.4,100.0,2
E016570,THAI STANDBY MACHINE PRODUCTS,THAI STANDBY MACHINE PRODUCTS,,1,E011691,MACHINE PRODUCTS,MACHINE PRODUCTS,United States Of America,1,Medium,45,71.1,100.0,71.1,100.0,2
E008952,GOLDEN GATE,GOLDEN GATE,United States Of America,1,E008953,GOLDEN GATE TRAILERS,GOLDEN GATE TRAILERS,United States Of America,1,Medium,31,71.0,100.0,71.0,100.0,2
E013727,PETROCHOICE,PETROCHOICE,United States Of America,1,E013730,PETROCHOICE GASTONIA,PETROCHOICE GASTONIA,United States Of America,1,Medium,31,71.0,100.0,71.0,100.0,2
E016203,SOUTHERN FLUID POWER,Southern Fluid Power LLC,United States Of America,1,E008406,FLUID POWER,FLUID POWER,United States Of America,1,Medium,31,71.0,100.0,71.0,100.0,2
E017990,YELLA TERRA,YELLA TERRA,Australia,1,E017991,YELLA TERRA BRAESIDE,YELLA TERRA BRAESIDE,,1,Medium,31,71.0,100.0,71.0,100.0,2
E004103,A1 EVOLUTION,A1 EVOLUTION,Australia,1,E004104,A1 EVOLUTION INGLEBURN,A1 EVOLUTION INGLEBURN,,1,Medium,34,70.6,100.0,70.6,100.0,2
E004404,AHORA 11294 AUTOMOCION CORNEJO CB,AHORA 11294 AUTOMOCION CORNEJO CB,Spain,1,E005112,AUTOMOCION CORNEJO,AUTOMOCION CORNEJO,Spain,1,Medium,51,70.6,100.0,70.6,100.0,2
E004714,ANCHOR DANLY,ANCHOR DANLY,United States Of America,1,E004715,ANCHOR DANLY CAMBRIDGE,ANCHOR DANLY INC CAMBRIDGE,United States Of America,1,Medium,34,70.6,100.0,70.6,100.0,2
E008100,EXPORT,EXPORT CORPORATION,United States Of America,1,E008145,EXPORT FUEL,Export Fuel Co Inc,United States Of America,1,Medium,17,70.6,100.0,70.6,100.0,2
E008898,GLOBAL,GLOBAL,Italy,1,E008908,GLOBAL PCCI,GLOBAL PCCI,United States Of America,1,Medium,17,70.6,100.0,70.6,100.0,2
E008950,GOLDEN,GOLDEN,Mexico,1,E008952,GOLDEN GATE,GOLDEN GATE,United States Of America,1,Medium,17,70.6,100.0,70.6,100.0,2
E014289,PENN MACHINE JOHNSTOWN,Penn Machine Company Johnstown,United States Of America,1,E013663,PENN MACHINE,PENN MACHINE,United States Of America,1,Medium,34,70.6,100.0,70.6,100.0,2
E014417,R AND D CUSTOM MACHINE,R AND D CUSTOM MACHINE,United States Of America,1,E006946,D AND R MACHINE,D AND R MACHINE COMPANY,United States Of America,1,Medium,37,70.3,69.6,81.1,100.0,2
E004284,ADVANCE,ADVANCE,Japan,1,E004286,ADVANCE LIFTS,ADVANCE LIFTS INC,United States Of America,1,Medium,20,70.0,100.0,70.0,100.0,2
E005160,AZTEC PLASTIC,AZTEC PLASTIC,United States Of America,1,E014299,PLASTIC,Plastic,United States Of America,1,Medium,20,70.0,100.0,70.0,100.0,2
